2025-05-23 17:31:14,482 - APN: 220720-0415 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:31:23,388 - APN: 068630-1050 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:31:25,395 - APN: 026700-0050 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:31:31,109 - APN: 102405-9119 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:31:34,088 - APN: 156080-0390 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:31:35,833 - APN: 064650-0020 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:31:39,797 - APN: 856300-1530 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:31:39,800 - APN: 221300-0070 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:31:42,278 - APN: 505680-0350 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:31:42,302 - APN: 024900-0045 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:31:43,243 - APN: 156200-0040 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:31:45,133 - APN: 108900-0010 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:31:49,143 - APN: 068610-0320 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:31:49,286 - APN: 020100-0510 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:31:50,688 - APN: 278500-0050 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:31:51,662 - APN: 792280-0550 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:31:52,099 - APN: 025980-0110 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:31:53,694 - APN: 321060-0290 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:31:53,883 - APN: 051450-0015 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:31:54,069 - APN: 025980-1050 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:31:54,610 - APN: 663230-0242 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:31:55,863 - APN: 1160000320 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:31:55,980 - APN: 2926049215 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:31:57,695 - APN: 7986400070 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:31:57,861 - APN: 1454600030 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:31:58,155 - APN: 2568800200 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:31:58,737 - APN: 092405-9186 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:31:59,640 - APN: 106600-0370 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:00,066 - APN: 403860-0400 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:01,905 - APN: 220710-0120 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:02,423 - APN: 220710-0340 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:03,121 - APN: 737510-0075 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:04,780 - APN: 691860-0130 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:07,759 - APN: 220700-0010 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:07,809 - APN: 177650-0100 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:10,156 - APN: 737460-0240 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:10,163 - APN: 065000-0055 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:12,217 - APN: 102405-9092 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:12,324 - APN: 064650-0060 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:12,406 - APN: 415770-0100 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:12,986 - APN: 154660-0545 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:14,515 - APN: 220550-0430 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:14,689 - APN: 326020-0130 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:16,454 - APN: 068630-0410 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:16,746 - APN: 323650-0360 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:16,993 - APN: 242510-0060 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:18,207 - APN: 068620-1160 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:18,605 - APN: 404080-0330 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:20,340 - APN: 068610-0340 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:22,120 - APN: 403880-0250 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:25,276 - APN: 079320-0170 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:25,506 - APN: 856303-0240 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:28,349 - APN: 792280-0470 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:29,451 - APN: 737530-0205 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:30,844 - APN: 856300-0570 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:32,357 - APN: 792290-0480 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:35,205 - APN: 025980-1070 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:35,349 - APN: 934670-0290 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:36,008 - APN: 068630-0860 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:40,440 - APN: 322505-9202 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:40,577 - APN: 675130-0315 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:42,437 - APN: 020100-0600 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:48,003 - APN: 220150-0565 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
2025-05-23 17:32:48,013 - APN: 403820-0940 | Failed after 2 attempts | Error: [Errno 8] Exec format error: '/home/elisha-a/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver'
